fold,test_accuracy,test_bal_acc,test_roc_auc,test_f1,test_precision,test_sensitivity,test_specificity
1,0.9411764705882353,0.9275280898876405,0.9685393258426966,0.96045197740113,0.9659090909090909,0.9550561797752809,0.9
2,0.9411764705882353,0.949625468164794,0.9745318352059924,0.9595375722543352,0.9880952380952381,0.9325842696629213,0.9666666666666667
3,0.9243697478991597,0.8941947565543071,0.9588014981273408,0.9497206703910615,0.9444444444444444,0.9550561797752809,0.8333333333333334
4,0.9327731092436975,0.9108614232209737,0.9565543071161049,0.9550561797752809,0.9550561797752809,0.9550561797752809,0.8666666666666667
5,0.907563025210084,0.8719101123595505,0.9595505617977528,0.9385474860335196,0.9333333333333333,0.9438202247191011,0.8
