fold,test_accuracy,test_bal_acc,test_roc_auc,test_f1,test_precision,test_sensitivity,test_specificity
1,0.9411764705882353,0.9275280898876405,0.9621722846441948,0.96045197740113,0.9659090909090909,0.9550561797752809,0.9
2,0.9495798319327731,0.9441947565543072,0.9722846441947566,0.9659090909090909,0.9770114942528736,0.9550561797752809,0.9333333333333333
3,0.9159663865546218,0.9106741573033708,0.9617977528089888,0.9425287356321839,0.9647058823529412,0.9213483146067416,0.9
4,0.9243697478991597,0.9162921348314607,0.9565543071161049,0.9485714285714286,0.9651162790697675,0.9325842696629213,0.9
5,0.8907563025210085,0.8606741573033708,0.9528089887640449,0.9265536723163842,0.9318181818181818,0.9213483146067416,0.8
