fold,test_accuracy,test_bal_acc,test_roc_auc,test_f1,test_precision,test_sensitivity,test_specificity
1,0.9324324324324325,0.9583333333333333,0.988095238095238,0.9565217391304348,1.0,0.9166666666666666,1.0
2,0.9594594594594594,0.975,0.9869047619047618,0.9743589743589743,1.0,0.95,1.0
3,0.9054054054054054,0.9142857142857144,0.976190476190476,0.9391304347826087,0.9818181818181818,0.9,0.9285714285714286
4,0.9054054054054054,0.9142857142857144,0.9726190476190475,0.9391304347826087,0.9818181818181818,0.9,0.9285714285714286
5,0.918918918918919,0.95,0.9857142857142857,0.9473684210526315,1.0,0.9,1.0
