fold,test_accuracy,test_bal_acc,test_roc_auc,test_f1,test_precision,test_sensitivity,test_specificity
1,0.8507462686567164,0.8710526315789473,0.9394736842105265,0.6428571428571429,0.5,0.9,0.8421052631578947
2,0.8432835820895522,0.8460526315789474,0.9407894736842105,0.6181818181818182,0.4857142857142857,0.85,0.8421052631578947
3,0.835820895522388,0.8416666666666667,0.9394736842105263,0.6071428571428571,0.4722222222222222,0.85,0.8333333333333334
4,0.8507462686567164,0.850438596491228,0.9276315789473684,0.6296296296296297,0.5,0.85,0.8508771929824561
5,0.8432835820895522,0.887280701754386,0.9469298245614035,0.6440677966101694,0.48717948717948717,0.95,0.8245614035087719
