fold,test_accuracy,test_bal_acc,test_roc_auc,test_f1,test_precision,test_sensitivity,test_specificity
1,0.9243697478991597,0.9162921348314607,0.9606741573033708,0.9485714285714286,0.9651162790697675,0.9325842696629213,0.9
2,0.9411764705882353,0.949625468164794,0.9752808988764045,0.9595375722543352,0.9880952380952381,0.9325842696629213,0.9666666666666667
3,0.8907563025210085,0.8717228464419475,0.9430711610486892,0.9257142857142857,0.9418604651162791,0.9101123595505618,0.8333333333333334
4,0.8991596638655462,0.8662921348314607,0.9610486891385769,0.9325842696629213,0.9325842696629213,0.9325842696629213,0.8
5,0.8907563025210085,0.849625468164794,0.953932584269663,0.9273743016759777,0.9222222222222223,0.9325842696629213,0.7666666666666667
