iter	Logloss
0	0.6424905198
1	0.5997028256
2	0.562589579
3	0.5342172651
4	0.5029777033
5	0.4763640598
6	0.4499905335
7	0.426942626
8	0.4071139056
9	0.3873407924
10	0.3698967322
11	0.3509878282
12	0.3342148131
13	0.3191931805
14	0.3061619469
15	0.2929743107
16	0.2834330507
17	0.2744914192
18	0.2648496865
19	0.2533762918
20	0.2455797338
21	0.237752886
22	0.2312789082
23	0.2262864753
24	0.2193961452
25	0.214379154
26	0.2081203935
27	0.2021960548
28	0.1950650002
29	0.1886879271
30	0.1838461653
31	0.1801309348
32	0.1766894896
33	0.1730380462
34	0.1688383681
35	0.1656095211
36	0.161968421
37	0.1591402025
38	0.1566036851
39	0.1542714152
40	0.1511551966
41	0.1486680899
42	0.1456867996
43	0.1433712214
44	0.1412090947
45	0.1389509457
46	0.1361171476
47	0.1345548962
48	0.1335517921
49	0.1304307245
50	0.1280608106
51	0.1258126064
52	0.1236188898
53	0.1214883719
54	0.1193731223
55	0.1181897785
56	0.1165123935
57	0.1151606432
58	0.1131689157
59	0.1112276428
60	0.1101965074
61	0.1085579241
62	0.1065161786
63	0.1050190333
64	0.1037111045
65	0.1021190093
66	0.1015621014
67	0.09997012959
68	0.09890577212
69	0.09749774079
70	0.09647088502
71	0.09513397596
72	0.09397139478
73	0.09289338221
74	0.09209350092
75	0.09103387861
76	0.09006356956
77	0.08869890431
78	0.08739043468
79	0.08633705633
80	0.08553388225
81	0.08419107086
82	0.08282605451
83	0.08196424608
84	0.08053149513
85	0.07893252017
86	0.07804566948
87	0.07752176067
88	0.07648865619
89	0.07583256622
90	0.07475209592
91	0.07377655826
92	0.07293632374
93	0.07221651789
94	0.07149338604
95	0.07108133231
96	0.06950886095
97	0.06882330671
98	0.06791896725
99	0.06729124079
100	0.06646473728
101	0.06568155716
102	0.06482625363
103	0.06340857643
104	0.06257738047
105	0.0623174544
106	0.06157284827
107	0.06071463628
108	0.06006046314
109	0.05939073705
110	0.05914533435
111	0.05860670289
112	0.05789260485
113	0.05722362366
114	0.05674163856
115	0.05612125681
116	0.05522888335
117	0.0547179559
118	0.05423156776
119	0.05352095704
120	0.05244154479
121	0.0519838855
122	0.05135688023
123	0.05091623999
124	0.05033365411
125	0.04975676655
126	0.04928822304
127	0.0485700019
128	0.04822893285
129	0.04762369602
130	0.04700660706
131	0.04636538207
132	0.04578694301
133	0.04568860068
134	0.04523109797
135	0.04499758535
136	0.04422770448
137	0.04351326957
138	0.0428190943
139	0.04250698184
140	0.04198408364
141	0.04161436641
142	0.04152807549
143	0.04102497196
144	0.04089289044
145	0.04036786663
146	0.03969678357
147	0.03939691705
148	0.03899347723
149	0.03865465477
150	0.03808550574
151	0.03774160414
152	0.03747804129
153	0.03698639134
154	0.03650234944
155	0.03612312393
156	0.0358814695
157	0.03562880749
158	0.03553275208
159	0.0354815336
