fold,test_accuracy,test_bal_acc,test_roc_auc,test_f1,test_precision,test_sensitivity,test_specificity
1,0.7910447761194029,0.7970621468926553,0.8743502824858758,0.78125,0.7246376811594203,0.847457627118644,0.7466666666666667
2,0.7985074626865671,0.8001129943502825,0.8623728813559323,0.7804878048780488,0.75,0.8135593220338984,0.7866666666666666
3,0.7761194029850746,0.7783050847457627,0.8533333333333334,0.7580645161290323,0.7230769230769231,0.7966101694915254,0.76
4,0.7761194029850746,0.7783050847457627,0.8788700564971752,0.7580645161290323,0.7230769230769231,0.7966101694915254,0.76
5,0.7835820895522388,0.7867796610169492,0.872090395480226,0.768,0.7272727272727273,0.8135593220338984,0.76
