fold,test_accuracy,test_bal_acc,test_roc_auc,test_f1,test_precision,test_sensitivity,test_specificity
1,0.6625,0.675,0.7549999999999999,0.7428571428571429,0.8666666666666667,0.65,0.7
2,0.725,0.6833333333333333,0.7466666666666667,0.8070175438596491,0.8518518518518519,0.7666666666666667,0.6
3,0.7,0.7,0.7799999999999999,0.7777777777777778,0.875,0.7,0.7
4,0.7375,0.6916666666666667,0.7925,0.8173913043478261,0.8545454545454545,0.7833333333333333,0.6
5,0.6875,0.6583333333333333,0.7591666666666667,0.7747747747747747,0.8431372549019608,0.7166666666666667,0.6
