fold,test_accuracy,test_bal_acc,test_roc_auc,test_f1,test_precision,test_sensitivity,test_specificity
1,0.9625,0.9416666666666667,0.9583333333333334,0.9752066115702479,0.9672131147540983,0.9833333333333333,0.9
2,0.9375,0.9083333333333333,0.9533333333333334,0.9586776859504132,0.9508196721311475,0.9666666666666667,0.85
3,0.9375,0.925,0.9566666666666667,0.957983193277311,0.9661016949152542,0.95,0.9
4,0.95,0.9333333333333333,0.9583333333333334,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9
5,0.9625,0.9416666666666667,0.9591666666666666,0.9752066115702479,0.9672131147540983,0.9833333333333333,0.9
