fold,test_accuracy,test_bal_acc,test_roc_auc,test_f1,test_precision,test_sensitivity,test_specificity
1,0.975,0.9666666666666666,0.99,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.95
2,0.95,0.9333333333333333,0.99,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9
3,0.9625,0.9416666666666667,0.9925,0.9752066115702479,0.9672131147540983,0.9833333333333333,0.9
4,0.975,0.9666666666666666,0.9908333333333335,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.95
5,0.9625,0.9416666666666667,0.9875,0.9752066115702479,0.9672131147540983,0.9833333333333333,0.9
